OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31631,2024-068E,2026-01-27T08:23:16.004256,15.27573519,.0001261,43.0000,264.2388,273.1976,86.8731,0,U,59459,999,10224,.11264962E-3,.2838E-4,0
STARLINK-31620,2024-068F,2026-01-27T16:45:30.535776,15.27582770,.0001025,43.0009,262.5551,267.3196,92.7538,0,U,59460,999,10229,.12536E-3,.3189E-4,0
STARLINK-31511,2024-068H,2026-01-27T17:03:17.289792,15.27578421,.0001343,43.0039,266.1065,257.9865,102.0836,0,U,59462,999,10225,-.38288E-4,-.1316E-4,0
STARLINK-31364,2024-068J,2026-01-27T00:43:35.581152,15.27575518,.00010455,43.0007,266.1435,274.8668,85.2064,0,U,59463,999,10219,-.8870026E-5,-.506E-5,0
STARLINK-31597,2024-068K,2026-01-27T16:48:30.731616,15.27570886,.0001078,42.9989,266.0264,283.7192,76.3539,0,U,59464,999,10220,.88877E-4,.2184E-4,0
STARLINK-31621,2024-068L,2026-01-27T16:57:45.753120,15.27576125,.0001186,43.0031,266.0907,263.2926,96.7791,0,U,59465,999,10225,.68126E-4,.1613E-4,0
STARLINK-31462,2024-068M,2026-01-27T16:37:24.219552,15.27587106,.0001719,43.0040,265.9575,276.5546,83.5109,0,U,59466,999,10225,.25764E-3,.6836E-4,0
STARLINK-31592,2024-068N,2026-01-27T17:14:23.580672,15.27624415,.0000791,43.0010,266.1660,239.9001,120.1773,0,U,59467,999,10225,-.33321E-3,-.9432E-4,0
STARLINK-31267,2024-068P,2026-01-27T16:58:14.714400,15.27570284,.0001091,43.0009,261.7488,262.1804,97.8924,0,U,59468,999,10230,.51225E-4,.1147E-4,0
STARLINK-31381,2024-068Q,2026-01-27T15:22:27.267168,15.27579992,.0001201,43.0015,262.9816,254.0642,106.0077,0,U,59469,999,10228,.14128E-3,.3628E-4,0
STARLINK-31546,2024-068R,2026-01-27T16:28:51.531456,15.27582741,.0000982,42.9960,262.4668,282.8635,77.2107,0,U,59470,999,10229,.17173E-3,.4467E-4,0
STARLINK-31575,2024-068S,2026-01-27T16:39:57.431808,15.27580689,.0001112,43.0002,262.5250,272.1902,87.8822,0,U,59471,999,10229,.53149E-4,.1201E-4,0
STARLINK-31610,2024-068U,2026-01-27T16:26:18.326976,15.27581005,.0001309,42.9973,265.9086,286.9215,73.1493,0,U,59473,999,10225,.10444E-3,.2613E-4,0
STARLINK-31581,2024-068V,2026-01-27T16:25:50.993472,15.27581748,.0000917,43.0005,258.9749,264.8027,95.2720,0,U,59474,999,10233,.12896E-3,.3288E-4,0
STARLINK-31566,2024-068W,2026-01-27T16:31:51.677184,15.27589415,.0000921,42.9986,265.9348,279.3297,80.7450,0,U,59475,999,10225,-.34406E-4,-.1209E-4,0
STARLINK-31515,2024-068X,2026-01-27T16:42:57.559392,15.27579319,.0001275,42.9978,265.9944,276.3250,83.7456,0,U,59476,999,10225,.9395E-4,.2324E-4,0
STARLINK-31531,2024-068Y,2026-01-27T12:41:31.261920,15.27565241,.00005553,42.9974,211.8166,299.1453,60.9343,0,U,59477,999,10285,.65414676E-4,.1538E-4,0
STARLINK-31753,2024-071A,2026-01-27T13:18:33.488928,15.27571980,.0002539,43.0045,212.1305,295.1237,64.9351,0,U,59484,999,10191,-.13358E-3,-.3936E-4,0
STARLINK-31733,2024-071C,2026-01-27T18:52:37.183008,15.27579958,.0001368,42.9999,210.4299,271.2004,88.8691,0,U,59486,999,10195,.65611E-5,-.82E-6,0
STARLINK-31657,2024-071D,2026-01-27T13:00:02.530944,15.27596950,.000084,42.9938,212.0306,225.7424,134.3358,0,U,59487,999,10191,-.62977E-3,-.17559E-3,0
STARLINK-31754,2024-071E,2026-01-27T12:45:55.156032,15.27584439,.000099,42.9994,219.7468,267.8381,92.2357,0,U,59488,999,10182,.37767E-3,.10146E-3,0
STARLINK-31638,2024-071F,2026-01-27T12:58:11.949312,15.27579882,.0001264,42.9979,212.0186,272.3251,87.7456,0,U,59489,999,10191,.43442E-4,.934E-5,0
STARLINK-31670,2024-071G,2026-01-27T19:42:32.986368,15.27589744,.0001636,42.9969,221.9576,275.7035,84.3630,0,U,59490,999,10182,.1436E-3,.3693E-4,0
STARLINK-31712,2024-071H,2026-01-27T19:44:26.430432,15.27563051,.0000905,42.9982,221.9474,241.1303,118.9458,0,U,59491,999,10182,-.80157E-4,-.2466E-4,0
